[8768:36452:0518/121012.596:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[8768:36452:0518/121012.603:ERROR:persistent_memory_allocator.cc(908)] Corruption detected in shared-memory segment.
[8768:17712:0518/121013.026:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[8768:36452:0518/121013.290:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[8768:36452:0518/121026.548:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[15728:37428:0518/121029.402:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-A99FCF474E283F040EE391553C2B2338 will be ignored
[42176:12580:0518/121037.130:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 6-082686B10466725094D96C9833DF8484 will be ignored
[8768:6084:0518/122416.531:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=62})
[8768:6084:0518/122418.533:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=61})
[8768:6084:0518/122419.531:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=63})
[8768:6084:0518/122420.534:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=66})
[8768:6084:0518/122421.531:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=63})
[8768:6084:0518/122422.533:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=64})
[8768:6084:0518/122423.535:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=65})
[8768:36452:0518/122423.591:VERBOSE1:device_event_log_impl.cc(198)] [12:24:23.574] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[8768:36452:0518/122423.591:VERBOSE1:device_event_log_impl.cc(198)] [12:24:23.591] Display: EVENT: screen_win.cc:895 Display[2522845288] bounds=[0,0 1707x960], workarea=[0,0 1707x912], scale=1.5, rotation=0, panel_rotation=0 external detected
[8768:6084:0518/122424.452:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=62})
[8768:6084:0518/122425.501:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=61})
[8768:6084:0518/122426.438:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=56})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=55})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=54})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=57})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=56})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=54})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=57})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=59})
[8768:6084:0518/122438.193:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=58})
